t,p_x,p_y,p_z,v_x,v_y,v_z,q_w,q_x,q_y,q_z,w_x,w_y,w_z,u_1,u_2,u_3,u_4
0.0,1.5138249442662883e-07,2.900742468564963e-06,0.0003695972372324214,2.593211891204679e-05,0.0004627635521708479,0.037779254622975635,0.9999950183708175,0.0031505202770748426,-0.0001890453085769848,-4.144156676417856e-05,0.33606450956546774,-0.021556927890883107,-0.00817026882282869,1.9650550617249751,0.32987063439227365,-0.02088360485933701,-0.011379896488947227
0.01,3.4692705723682954e-06,4.107084211737278e-05,-0.00016531880485450164,0.00039571257116861614,0.003809959708967613,-0.09405075557257297,0.9999742146386652,0.007114115789518063,-0.0009674664283648677,-0.00015304583723694387,0.40026150118474685,-0.08126361200463454,-0.011799435591970256,4.149177003161836,0.39421437044926755,-0.07969982043913576,-0.010543377235099162
0.02,1.9611798107237958e-05,0.0001728958185081487,-0.003393576033885773,0.0013104636436990014,0.009813521129915294,-0.22873832127275215,0.9999360790077607,0.01115824252254804,-0.001803964410305043,-0.00027791149647951515,0.4043988603317994,-0.08316972761791097,-0.012659350059694076,4.178997837751989,0.4002357777422767,-0.08140659617299281,-0.011799485576916983
0.03,5.953365455409808e-05,0.00045097331448307746,-0.009300402888955617,0.002774408604893965,0.018434599555100496,-0.3618679904290927,0.9998803358766778,0.01523488252349496,-0.002653918924213005,-0.00041109120792221177,0.4077112760030514,-0.0845946501377407,-0.013458658459420523,4.178998346933358,0.4043691684624266,-0.08332409349885124,-0.012659377768878726
0.04,0.0001342453141145684,0.0009275541470794764,-0.017854396198339374,0.004789732078019864,0.029662141304394766,-0.49342277933468953,0.9998066846399615,0.019337584228852765,-0.0035137547292317037,-0.0005520082821404805,0.41037390721994216,-0.0856540033414911,-0.014203040060742309,4.178998430953374,0.40767862894406715,-0.0847605966200022,-0.013458700058226542
0.05,0.0002547785523321308,0.0016546247626851103,-0.029023847444624336,0.007356499002384967,0.04348103030261822,-0.6233875266293251,0.9997149042218061,0.023461226444452653,-0.00438074767149169,-0.000700128806766852,0.4125226015908256,-0.08643499467201873,-0.01489729345426034,4.178998810391869,0.410337820366196,-0.08582922068624044,-0.014203046215021232
0.06,0.0004321495911572105,0.002683835293002846,-0.04277677060578837,0.010473182950911071,0.059872957217376246,-0.7517484471125517,0.9996048320985954,0.02760174398789768,-0.005252848557407963,-0.0008549596473436901,0.41426527688098014,-0.08700693190566745,-0.015545650318375742,4.1789988097869575,0.41248416074785177,-0.08661942940682593,-0.014897293860772839
0.07,0.0006773316545399508,0.004066443168897551,-0.05908092689934885,0.014137081332476015,0.07881711327397506,-0.8784930378158069,0.9994763489676866,0.031755891667813965,-0.006128527547129872,-0.001016045623697595,0.4156856053747976,-0.08742303125973984,-0.016151798389928387,4.178998768018116,0.4142244229685795,-0.08720010520068124,-0.015545650268385953
0.08,0.0010012345062959255,0.0058532676689816866,-0.07790382745132084,0.018344618115204284,0.10029068060634774,-1.0036091561437135,0.9993293674612115,0.03592106436658448,-0.007006642706441914,-0.0011829718216408332,0.41684986364455073,-0.0877240602651683,-0.016719398330883328,4.178998621071369,0.4156424244251428,-0.08762431840596799,-0.01615180086818388
0.09,0.0014146892750771462,0.008094653350932342,-0.09921273340958676,0.02309157285860586,0.12426922741584925,-1.127084794543645,0.9991638234641301,0.040095166869940774,-0.007886346248002815,-0.0013553660276134302,0.41781123641697065,-0.08794151724918149,-0.01725221475724624,4.178998467324837,0.4168046736058859,-0.08793300079732609,-0.016719401817009243
0.1,0.001928438859595076,0.010840447383350217,-0.12297473829915509,0.028373329628321745,0.15072727738570005,-1.2489110289302485,0.9989796684610112,0.04427652776281324,-0.008767062310925304,-0.001532876131206703,0.4186098758430199,-0.08809985032179475,-0.017752224841547416,4.178998135517963,0.41776379754447623,-0.0881572156634041,-0.01725223217945122
0.11,0.002553130830947185,0.014139977628482576,-0.14915676193475377,0.034184993963460086,0.17963842133753116,-1.3690793086112791,0.9987768659587364,0.04846378634010301,-0.009648399898122986,-0.0017151730615524957,0.4192777802209146,-0.08821820336073183,-0.018221311569159272,4.178997884406154,0.41856055088646277,-0.08832213291964815,-0.017752247047167928
0.12,0.00329931299349221,0.018042036099947208,-0.17772555699350534,0.040521502911586335,0.21097552732056882,-1.4875814560152194,0.9985553875291239,0.05265583850093721,-0.010530113738823699,-0.0019019497816497222,0.4198407686774652,-0.08831222017192679,-0.018661264482681524,4.178998048346946,0.41922767110882697,-0.0884479169987592,-0.018221294921673188
0.13,0.004177430845250888,0.022594866051676203,-0.208647714858158,0.04737770205525324,0.24471088836728888,-1.604409525078199,0.9983152116944009,0.05685176250628166,-0.011412050056848477,-0.0020929197292420022,0.4203170642434062,-0.08839185455553202,-0.019073848401711453,4.1789977669146605,0.41978890272840264,-0.08854791274548127,-0.018661242115513697
0.14,0.005197826416519979,0.027846151966833186,-0.2418896727791761,0.05474840870788906,0.28081635471526384,-1.719555936382516,0.9980563221819048,0.06105077994991377,-0.012294141406267733,-0.002287817151790725,0.42072168619809774,-0.08846581284400325,-0.0194607191003493,4.178997457083799,0.42026351298898723,-0.08863346076413454,-0.019073809637329533
0.15,0.006370739454889813,0.03384301769924872,-0.27741777708769993,0.06262860621430216,0.3192639035293588,-1.8330188882885776,0.9977787600931746,0.06525136631738192,-0.013176596310479355,-0.002486445316673605,0.4209434948454582,-0.08859733887152924,-0.01982710157678352,4.1788984736155275,0.4205457769781302,-0.08876842164047384,-0.019458651092294974
0.16,0.007706309261416154,0.04063199922510053,-0.31519818724432563,0.07101327051069331,0.3600229959264909,-1.944781885086069,0.997482494616343,0.0694533713725568,-0.01405964927400335,-0.0026885686219762363,0.4212286048845763,-0.08868542714050205,-0.020166857486015963,4.178996465662499,0.42088600947212895,-0.08885018600104265,-0.019827008952726703
0.17,0.009214577035812863,0.04825904145267364,-0.3551968716250226,0.07989756764270319,0.40306504218333755,-2.05484213645345,0.9971675028990667,0.07365664725509592,-0.014943045463847985,-0.0028939366688848253,0.4214715309489548,-0.0887819725491216,-0.020485342807987104,4.178996238564497,0.4211699381307396,-0.08894351590874093,-0.02016673744281745
0.18,0.010905486354870033,0.056769511783008285,-0.39737970740947304,0.08927660427731472,0.448360845271073,-2.163193193462399,0.9968337823289874,0.07786074513323893,-0.015826881264771397,-0.0031023546561758405,0.4216765689460098,-0.0888898346157525,-0.020783918041199983,4.178995579453375,0.42141071411937464,-0.08904490637295995,-0.020485193663198557
0.19,0.012788883959114084,0.06620819228177528,-0.44171244535375853,0.09914559375681016,0.4958810803619801,-2.2698288541492655,0.9964813330248379,0.08206525399552102,-0.016711277188679683,-0.0033136436766846005,0.4218475122880764,-0.08901162968317268,-0.02106385550925337,4.17899476895532,0.4216133806443654,-0.08915764207706846,-0.020783728446583903
0.2,0.014874522017951742,0.07661927742410263,-0.4881607147203653,0.10949986902344498,0.545596324787442,-2.374743169747273,0.9961101577837822,0.08626979162014896,-0.01759637377329084,-0.0035276399781406695,0.42198701871179317,-0.08914972767923214,-0.02132636231424745,4.178993751024313,0.4217816200139167,-0.08928455402692675,-0.021063606007920822
0.21,0.017172060606476507,0.08804637230012874,-0.5366900280106841,0.12033489152848488,0.597477079280359,-2.477930449350602,0.9957202630044855,0.0904739883778946,-0.018482323426137055,-0.003744194178520194,0.4220955420329312,-0.08930619698336115,-0.02157262038506323,4.178991944767466,0.42191684014552355,-0.08942792224460361,-0.02132603396117146
0.22,0.019691070407672574,0.10053249146105277,-0.5872657875698868,0.13164627203602858,0.6514938345363643,-2.5793855561588037,0.9953116596561248,0.09467747081326594,-0.01936930394346382,-0.0039631726835346725,0.4221689971358476,-0.08948739612076173,-0.021803870680086632,4.178987643869947,0.42201624564643697,-0.0895937123782476,-0.02157203980650036
0.23,0.022441035851054447,0.11412005828654642,-0.6398532947251936,0.14342980489793405,0.7076171041787269,-2.679104079197495,0.9948843664160806,0.09887982608196878,-0.020257535593475297,-0.004184460126793575,0.42219469610223237,-0.08970638939857813,-0.022021562996232223,4.178976941948001,0.4220681413304602,-0.08979470398487574,-0.021802600556125783
0.24,0.025431359562687095,0.12885090628609705,-0.6944177701070198,0.15568145675179265,0.76581700790023,-2.7770804275203584,0.9944384074636752,0.10308060982741538,-0.02114737504116111,-0.004407966377635052,0.4222041643472594,-0.08994257281617599,-0.022224839321900624,4.178923843415191,0.42199615604957486,-0.09011862103924786,-0.022016182797614702
0.25,0.02867132096300243,0.1447659435638045,-0.750922871027633,0.1683965436868529,0.8260410706254835,-2.8732187830713163,0.9939747461448734,0.10726855149691891,-0.022049559383346767,-0.004634524461888796,0.42095991418511464,-0.09139311663222269,-0.02237529729364378,4.178198664661512,0.42069826473259936,-0.09162809458632303,-0.02216852703834482
0.26,0.0321703373937913,0.16190591249848554,-0.8093347235584124,0.18158392519531427,0.8882932239439595,-2.967697082485688,0.9934926446026651,0.1114530513695787,-0.02295498457723987,-0.004863244171487565,0.4209401500988833,-0.09165427954394391,-0.022549288450786843,4.1789112238298,0.4207348270098755,-0.09183657024343286,-0.02236881374858904
0.27,0.03593775389783975,0.18031076265250026,-0.8696185951668444,0.19523591186958436,0.9525241391935129,-3.0604185968225783,0.9929920007294749,0.11563531414376758,-0.023862385966743185,-0.005093834127737187,0.4209274915417905,-0.09190924602014916,-0.022712116561170684,4.1789509407821015,0.4207872963903166,-0.09202919339413738,-0.0225456601749505
0.28,0.03998282197951866,0.20001975188315574,-0.9317392201692812,0.20934864897528271,1.0187026936728976,-3.151373262682673,0.9924728733152589,0.11981469029824303,-0.024772298718372467,-0.005326249928230665,0.42084388131896683,-0.09223318530550502,-0.02286229793532058,4.17894166182088,0.4207580628881545,-0.0923009186654488,-0.02270790053863781
