t,p_x,p_y,p_z,v_x,v_y,v_z,q_w,q_x,q_y,q_z,w_x,w_y,w_z,u_1,u_2,u_3,u_4
0.0,4.899314283832085e-08,6.6471077289371e-07,-8.380572151403765e-05,2.2479776337804185e-05,0.0002515025423244797,-0.032500827902171604,0.9999978644811854,0.0020543188464794797,-0.00022523434089337222,-8.754274340507025e-06,0.5230926318091981,-0.07226291120739455,-0.002713863387295972,3.906335501691472,0.5068076185642442,-0.06863367046016344,-0.002800648586761076
0.01,8.612152471908113e-07,8.04027302325932e-06,-0.0007411458507247114,0.00016278629653592502,0.0013777463485162979,-0.09981401042906539,0.9999884737399369,0.0047602247560817315,-0.0006261495210013433,-2.4172724300782045e-05,0.5434418438021918,-0.08129465962644561,-0.003093747845153324,4.17613594582272,0.5286743862016792,-0.0778949934396702,-0.0029423168881550156
0.02,3.751498455912926e-06,3.117996017450647e-05,-0.0020734236625885505,0.00043929659893294327,0.003409143082906802,-0.1671788609458422,0.9999710462769206,0.007537186348926743,-0.0010467996646048579,-4.0499933450730374e-05,0.5568508018065935,-0.08440728914296039,-0.0032349593923987913,4.1789971111990365,0.5434383077861419,-0.0813489111600531,-0.003093885495616655
0.03,1.0104081245752124e-05,7.921025964023276e-05,-0.004078026669732317,0.0008562683064097325,0.006360716570716164,-0.234216281023433,0.9999450789607278,0.01037500486584965,-0.0014815627824312579,-5.751503605320413e-05,0.5688863792110109,-0.08720422870947903,-0.003361854877019394,4.1789984720564775,0.5568436633252145,-0.08446253017308411,-0.0032349872148174836
0.04,2.134310452831623e-05,0.00016140904805990686,-0.006751582715136036,0.0014174522082099396,0.010246826403518405,-0.300913082409935,0.9999101203731489,0.013267419945147267,-0.0019290137835868012,-7.516100644979569e-05,0.5796907839286596,-0.08972038464622004,-0.003475996465491313,4.178998655603724,0.568878050214871,-0.08726238274890058,-0.00336186499907579
0.05,3.892770601142162e-05,0.0002871863567744108,-0.01009059571767705,0.0021261135242892663,0.01507964502891486,-0.3672569405685018,0.9998657729327785,0.01620880731784163,-0.0023878781316685424,-9.338575441041394e-05,0.5893898877505932,-0.09198533583968581,-0.003578715566681017,4.178998698266089,0.5796815574676522,-0.08978145861156046,-0.0034759989465453925
0.06,6.434742006479348e-05,0.00046606364275632127,-0.014091452675748375,0.0029850816855414813,0.020869377057227155,-0.43323621103784304,0.9998116877545777,0.019194111737281645,-0.0028570138622205873,-0.00011214165472768393,0.5980964549133205,-0.09402532224742624,-0.003671195307448495,4.178998703201771,0.5893797688120509,-0.09204907327453178,-0.0035787121878280113
0.07,9.911804882156342e-05,0.0007076551433963629,-0.01875042970079854,0.00399679489181506,0.027624457097808648,-0.4988398492858787,0.9997475597732859,0.022218789048717033,-0.003335397801412209,-0.00013138521703229706,0.6059117949659368,-0.0958639061042175,-0.0037544978662825816,4.178998650014648,0.5980855089816727,-0.0940915412178373,-0.0036711894658315574
0.08,0.0001447779572711443,0.0010216511137886076,-0.02406369752968853,0.005163340325208715,0.035351728609315854,-0.5640573628618737,0.9996731231833258,0.0252787541308808,-0.003822113328055842,-0.00015107677879023818,0.612926876590575,-0.09752222057221334,-0.0038295753851712204,4.178998555648658,0.6059000837898932,-0.09593245862269911,-0.003754490755684874
0.09,0.0002028847503802489,0.001417802763931605,-0.03002732665740619,0.00648649029861791,0.04405660528744856,-0.6288787736599217,0.9995881472384296,0.0283703334230857,-0.004316338639991621,-0.00017118017239891093,0.6192232148993326,-0.0990190237069539,-0.00389727571422629,4.178998390243133,0.6129142972035946,-0.09759280727972373,-0.0038295704090362346
